item,condition,disambPositionAmb,disambPositionUnamb,ambiguity,disambPosition_0idx,sentence_ambiguous,sentence_gp,sentence_post
17,NPS_UAMB,7,8,ambiguous,6,The yoga instructor demonstrated the position,The yoga instructor performed the position,The yoga instructor said the position
17,NPZ_UAMB,8,8,ambiguous,7,Before the yoga instructor left the position,Before the yoga instructor performed the position,Before the yoga instructor departed the position
17,MVRR_UAMB,7,9,ambiguous,6,The yoga instructor offered the position,The yoga instructor proposed the position,The yoga instructor given the position
18,NPS_UAMB,6,7,ambiguous,5,The governor noticed the contract,The governor approved the contract,The governor said the contract
18,NPZ_UAMB,7,7,ambiguous,6,While the governor read the contract,While the governor denounced the contract,While the governor slept the contract
18,MVRR_UAMB,6,8,ambiguous,5,The governor awarded the contract,The governor approved the contract,The governor given the contract
19,NPS_UAMB,6,7,ambiguous,5,The patient reported the treatment,The patient rejected the treatment,The patient said the treatment
19,NPZ_UAMB,7,7,ambiguous,6,Before the patient called the treatment,Before the patient received the treatment,Before the patient slept the treatment
19,MVRR_UAMB,6,8,ambiguous,5,The patient refused the treatment,The patient denounced the treatment,The patient given the treatment
20,NPS_UAMB,6,7,ambiguous,5,The operator observed the machine,The operator watched the machine,The operator said the machine
20,NPZ_UAMB,7,7,ambiguous,6,Once the operator stopped the machine,Once the operator broke the machine,Once the operator departed the machine
20,MVRR_UAMB,6,8,ambiguous,5,The operator brought the machine,The operator transported the machine,The operator shown the machine
21,NPS_UAMB,6,7,ambiguous,5,The dancer knew the ballet,The dancer danced the ballet,The dancer though the ballet
21,NPZ_UAMB,7,7,ambiguous,6,Once the dancer began the ballet,Once the dancer loved the ballet,Once the dancer arrived the ballet
21,MVRR_UAMB,6,8,ambiguous,5,The dancer assigned the ballet,The dancer hated the ballet,The dancer given the ballet
22,NPS_UAMB,6,7,ambiguous,5,The contestant revealed the money,The contestant lost the money,The contestant said the money
22,NPZ_UAMB,7,7,ambiguous,6,After the contestant lost the money,After the contestant wasted the money,After the contestant died the money
22,MVRR_UAMB,6,8,ambiguous,5,The contestant paid the money,The contestant lost the money,The contestant given the money
23,NPS_UAMB,7,8,ambiguous,6,The new chef claimed the restaurant,The new chef wanted the restaurant,The new chef said the restaurant
23,NPZ_UAMB,8,8,ambiguous,7,Once the new chef started the restaurant,Once the new chef opened the restaurant,Once the new chef arrived the restaurant
23,MVRR_UAMB,7,9,ambiguous,6,The new chef offered the restaurant,The new chef owned the restaurant,The new chef given the restaurant
24,NPS_UAMB,7,8,ambiguous,6,The apprentice baker discovered the oven,The apprentice baker opened the oven,The apprentice baker thought the oven
24,NPZ_UAMB,8,8,ambiguous,7,When the apprentice baker worked the oven,When the apprentice baker baked the oven,When the apprentice baker emerged the oven
24,MVRR_UAMB,7,9,ambiguous,6,The apprentice baker assigned the oven,The apprentice baker used the oven,The apprentice baker given the oven
