condition,ambiguous,Sentence,Comp_Question
NPS_UAMB,False,The basketball player mentioned that the contract created another controversy in the NBA.,Did the basketball player mention the contract?
NPZ_UAMB,False,"After the basketball player signed, the contract created another political controversy in the NBA.",Did the basketball player sign the contract?
MVRR_UAMB,False,The basketball player who was handed the contract created another controversy in the NBA.,Did the basketball player hand the contract?
NPS_UAMB,False,The engineer maintained that the equipment required constant supervision from senior technicians.,Did the engineer maintain the equipment?
NPZ_UAMB,False,"After the engineer moved, the equipment required constant supervision from senior technicians.",Did the engineer move the equipment?
MVRR_UAMB,False,The engineer who was brought the equipment required constant supervision from senior technicians.,Did the engineer bring the equipment?
NPS_UAMB,False,The little girl found that the lamb remained relatively calm despite the absence of its mother.,Did the little girl find the lamb?
NPZ_UAMB,False,"When the little girl attacked, the lamb remained relatively calm despite the sudden assault.",Did the little girl attack the lamb?
MVRR_UAMB,False,The little girl who was fed the lamb remained relatively calm despite having asked for beef.,Did the little girl feed the lamb?
NPS_UAMB,False,The yoga instructor demonstrated that the position demanded immense physical effort from everyone.,Did the yoga instructor demonstrate the position?
NPZ_UAMB,False,"Before the yoga instructor left, the position demanded immense physical effort from everyone.",Did the yoga instructor leave the position?
MVRR_UAMB,False,The yoga instructor who was offered the position demanded immense physical effort from everyone.,Did the yoga instructor offer the position?
NPS_UAMB,False,The governor noticed that the contract received sweeping support across the entire state.,Did the governor notice the contract?
NPZ_UAMB,False,"While the governor read, the contract received sweeping support from the audience at the rally.",Did the governor read the contract?
MVRR_UAMB,False,The governor who was awarded the contract received sweeping support across the entire state.,Did the governor award the contract?
NPS_UAMB,False,The patient reported that the treatment continued causing uncomfortable side effects like nausea.,Did the patient report the treatment?
NPZ_UAMB,False,"Before the patient called, the treatment continued causing uncomfortable side effects like nausea.",Did the patient call the treatment?
MVRR_UAMB,False,The patient who was refused the treatment continued causing uncomfortable scenes in the ER.,Did the patient refuse the treatment?
NPS_UAMB,False,The operator observed that the machine started working efficiently all of a sudden.,Did the operator observe the machine?
NPZ_UAMB,False,"Once the operator stopped, the machine started working efficiently without any supervision.",Did the operator stop the machine?
MVRR_UAMB,False,The operator who was brought the machine started working efficiently with the added automation.,Did the operator bring the machine?
NPS_UAMB,False,The dancer knew that the ballet achieved incredible success for a small local production.,Did the dancer know the ballet?
NPZ_UAMB,False,"Once the dancer began, the ballet achieved incredible success for a show with a new performer.",Did the dancer begin the ballet?
MVRR_UAMB,False,The dancer who was assigned the ballet achieved incredible success for a new performer.,Did the dancer assign the ballet?
NPS_UAMB,False,The contestant revealed that the money became unavailable to him when the show's budget shrank.,Did the contestant reveal the money?
NPZ_UAMB,False,"After the contestant lost, the money became unavailable despite his previous three wins in a row.",Did the contestant lose the money?
MVRR_UAMB,False,The contestant who was paid the money became unavailable and suddenly terminated his contract.,Did the contestant pay the money?
NPS_UAMB,False,The new chef claimed that the restaurant separated mediocre cooks from gifted ones.,Did the new chef claim the restaurant?
NPZ_UAMB,False,"Once the new chef started, the restaurant separated mediocre cooks from gifted ones.",Did the new chef start the restaurant?
MVRR_UAMB,False,The new chef who was offered the restaurant separated mediocre cooks from gifted ones.,Did the new chef offer the restaurant?
NPS_UAMB,False,The apprentice baker discovered that the oven produced smaller cakes because it heated too fast.,Did the apprentice baker discover the oven?
NPZ_UAMB,False,"When the apprentice baker worked, the oven produced smaller cakes because he lacked experience.",Did the apprentice baker work the oven?
MVRR_UAMB,False,The apprentice baker who was assigned the oven produced smaller cakes because he lacked experience.,Did the apprentice baker assign the oven?
